Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
-0.998746,569.437,30,37.7523,179.199,5.49078
0.15395,528.736,30,36.4237,171.617,5.75329
-0.967443,575.423,30,38.1891,181.235,5.49765
1.49877,551.684,30,39.7284,185.596,6.08674
1.68984,597.731,30,43.3152,202.109,6.13672
-4.67667,541.333,30,31.6948,154.126,4.77127
-0.579886,528.578,30,35.5361,168.225,5.58385
-2.95185,529.838,30,32.8962,158.149,5.08842
-1.20807,512.308,30,33.7281,160.314,5.44521
0.738513,548.925,30,38.5525,180.972,5.89442
-2.58467,502.957,30,31.6169,151.632,5.16033
-0.60942,531.33,30,35.6861,168.966,5.5772
-4.62203,516.112,30,30.2747,147.166,4.78083
0.158074,593.27,30,40.8748,192.584,5.75427
-0.852725,598.399,30,39.8662,189.054,5.52293
-3.1168,579.385,30,35.7723,172.162,5.05664
-0.372656,554.203,30,37.5166,177.364,5.63086
-0.726336,527.31,30,35.2785,167.162,5.55102
0.0693906,595.557,30,40.912,192.869,5.73334
-1.53729,583.129,30,37.9701,180.862,5.37479
-0.0864843,568.391,30,38.8446,183.305,5.69685
-1.93228,531.025,30,34.1224,162.952,5.29224
-1.46714,581.608,30,37.9602,180.732,5.38967
-1.01126,591.319,30,39.1867,186.022,5.48804
-1.27983,591.244,30,38.8317,184.658,5.42973
-3.8673,582.633,30,35.0681,169.613,4.91601
-3.196,538.048,30,33.131,159.534,5.0415
1.35535,534.281,30,38.2943,179.058,6.04967
-4.68676,533.36,30,31.2172,151.814,4.76951
-4.48573,589.341,30,34.7317,168.678,4.8048
0.297618,557.399,30,38.5813,181.616,5.78746
0.0441851,557.332,30,38.2542,180.368,5.72741
-0.922553,517.573,30,34.4012,163.212,5.50752
-4.61225,595.067,30,34.9177,169.725,4.78254
0.606421,519.947,30,36.3583,170.816,5.86204
-0.683864,599.847,30,40.1882,190.374,5.56051
-0.00297028,521.223,30,35.7198,168.469,5.71635
1.84057,547.017,30,39.8366,185.701,6.17662
1.24774,512.702,30,36.6178,171.336,6.0221
1.71914,544.158,30,39.4709,184.137,6.14444
1.51079,582.446,30,41.9602,196.008,6.08986
-3.60345,536.724,30,32.5959,157.38,4.96473
-4.90825,546.566,30,31.7484,154.626,4.73111
