Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
-1.5156,574.919,34.5351,175.666,3.81111
-4.65093,552.765,29.8547,155.246,3.45762
-1.31993,568.193,34.3558,174.517,3.83498
1.68429,527.675,35.2506,175.424,4.23287
-1.53014,596.35,35.805,182.144,3.80934
-3.11849,538.05,30.619,157.5,3.62383
-3.34396,592.862,33.481,172.496,3.59862
-0.759859,521.87,32.1516,162.69,3.90462
0.0340109,505.663,31.9877,160.981,4.00675
-4.22477,592.432,32.4673,168.32,3.50266
-4.23532,533.113,29.2059,151.423,3.50153
-1.15434,548.108,33.3256,169.091,3.85537
-2.3694,551.454,32.1874,164.7,3.70955
0.309198,549.5,35.0796,176.21,4.04313
-1.21388,579.073,35.1382,178.361,3.84802
-0.255167,552.098,34.5909,174.427,3.96907
-2.06272,503.861,29.7151,151.725,3.74554
1.15851,554.628,36.4154,181.866,4.1587
-3.35718,510.668,28.8262,148.528,3.59715
-1.00429,542.864,33.1729,168.141,3.87399
-4.81322,542.795,29.1535,151.776,3.4407
-0.235817,546.848,34.284,172.857,3.97158
-1.23285,541.884,32.8607,166.822,3.84569
-0.738067,508.119,31.3272,158.495,3.90737
-1.83842,550.2,32.6938,166.673,3.77221
-2.32712,569.46,33.2858,170.271,3.71448
0.750111,508.487,32.9387,164.96,4.10249
-0.549485,513.112,31.8347,160.853,3.93129
0.502843,545.156,35.0263,175.71,4.06903
1.98705,511.846,34.5347,171.512,4.27652
-0.252117,529.679,33.1897,167.358,3.96947
1.87723,544.991,36.6388,182.096,4.26061
-2.77584,567.43,32.668,167.636,3.66266
-4.38556,535.672,29.1957,151.532,3.48556
0.713055,586.798,37.965,190.179,4.09745
-2.95663,520.198,29.766,152.939,3.64209
-3.05113,557.022,31.7711,163.349,3.63141
-4.10723,537.268,29.5626,153.133,3.51524
-2.16441,568.975,33.4404,170.867,3.73355
0.17019,530.518,33.712,169.501,4.02469
-3.96296,532.799,29.4615,152.453,3.53077
-2.66505,503.031,29.0692,149.053,3.67535
-0.275959,529.613,33.1592,167.232,3.96639
-3.58911,519.782,29.1102,150.237,3.57151
-3.26474,556.814,31.5299,162.353,3.60745
0.0649574,540.554,34.23,172.229,4.01082
-1.03993,501.04,30.5807,155.041,3.86956
-0.0716514,516.665,32.5691,164.025,3.99292
-3.5958,561.427,31.4353,162.245,3.57078
1.07876,521.591,34.1563,170.676,4.14763
-0.129008,510.622,32.1269,161.862,3.98544
-4.02617,542.689,29.9437,155.018,3.52395
-4.90517,590.552,31.6185,164.717,3.43117
1.84835,514.372,34.5475,171.736,4.25644
1.98746,505.455,34.104,169.372,4.27658
0.536792,590.764,37.9993,190.58,4.0736
-4.89741,510.269,27.3274,142.354,3.43197
-0.467014,559.282,34.7947,175.71,3.94182
-0.0927887,591.667,37.2708,187.732,3.99016
-1.761,502.987,29.9662,152.686,3.78148
-0.569615,558.16,34.6063,174.882,3.92873
-1.3402,561.532,33.93,172.379,3.8325
0.0249456,530.946,33.5769,168.989,4.00556
-4.05133,563.158,31.0464,160.755,3.52125
-2.71768,590.456,34.0606,174.711,3.66931
-2.56869,524.402,30.403,155.787,3.68644
-0.309002,588.295,36.7928,185.599,3.96212
-2.99526,530.414,30.3108,155.78,3.63772
0.232899,588.17,37.4534,188.232,4.03299
-3.57662,536.613,30.0656,155.154,3.57289
-2.47641,553.556,32.1935,164.855,3.69711
-4.40513,537.842,29.2944,152.066,3.48349
0.60989,545.331,35.162,176.262,4.08346
-2.66647,547.352,31.6289,162.18,3.67519
1.86591,585.155,39.3244,195.458,4.25897
0.534947,580.266,37.3218,187.184,4.07335
0.240865,578.229,36.8301,185.089,4.03404
-0.22381,540.22,33.882,170.816,3.97313
0.0494573,509.278,32.2329,162.198,4.00878
0.995948,528.366,34.5055,172.518,4.13618
-2.08184,524.643,30.9208,157.902,3.74328
1.30959,552.582,36.4622,181.913,4.1798
-1.94254,526.747,31.1907,159.126,3.75979
0.000122617,528.283,33.381,168.032,4.00231
1.30623,566.228,37.3585,186.389,4.17933
0.420662,519.569,33.2916,167.101,4.05801
-3.03201,581.107,33.1664,170.5,3.63357
-4.18287,573.895,31.4965,163.239,3.50714
-0.722035,517.64,31.9312,161.533,3.9094
-2.33081,517.306,30.2335,154.661,3.71405
-1.10005,555.334,33.8264,171.567,3.86209
-2.46642,581.212,33.8133,173.138,3.69827
-0.144264,503.369,31.6544,159.498,3.98346
1.03223,524.013,34.2622,171.259,4.14119
-3.69099,543.982,30.36,156.8,3.56034
-3.77832,577.509,32.1355,166.073,3.5508
-0.929938,504.189,30.8863,156.471,3.88327
-4.48017,518.166,28.1502,146.205,3.47556
-3.88697,541.395,30.0145,155.231,3.539
-1.16294,502.585,30.549,155.012,3.85431
-1.18678,517.659,31.4402,159.56,3.85137
0.569443,593.332,38.2058,191.573,4.078
-1.18818,538.681,32.7154,166.033,3.85119
1.23468,521.952,34.3561,171.493,4.16932
-2.03346,573.619,33.8624,172.866,3.749
1.47319,553.916,36.7476,183.135,4.20284
-1.4729,566.961,34.1059,173.432,3.8163
-1.02235,554.908,33.8884,171.789,3.87174
-1.77209,512.961,30.549,155.668,3.78015
-2.76307,540.974,31.1583,159.875,3.66412
1.78757,539.354,36.1533,179.791,4.24768
1.00289,504.844,32.977,164.868,4.13714
-1.91799,528.631,31.3281,159.8,3.76272
0.179587,584.283,37.1401,186.725,4.02593
1.12379,569.229,37.3313,186.484,4.15388
-0.606349,564.616,34.9637,176.733,3.92406
0.113544,571.513,36.2489,182.327,4.01721
-3.68874,590.279,32.9464,170.156,3.56059
-4.30079,530.839,29.0163,150.51,3.49456
-2.88458,517.661,29.6932,152.487,3.65027
-3.51662,526.482,29.5583,152.471,3.5795
-4.44752,553.542,30.1058,156.325,3.47901
1.56441,540.613,35.9728,179.163,4.21578
-1.20815,596.309,36.1911,183.698,3.84873
-2.44603,501.488,29.1953,149.47,3.70064
-1.76843,520.399,30.9958,157.94,3.78059
-1.47219,531.479,31.9722,162.581,3.81638
1.85081,598.105,40.1747,199.705,4.25679
-0.802142,514.68,31.6639,160.269,3.8993
-2.85251,527.937,30.3155,155.648,3.65391
-4.47621,549.958,29.8814,155.192,3.47598
1.04956,503.509,32.9405,164.633,4.14359
0.213954,584.901,37.2218,187.092,4.03048
-3.76931,575.378,32.0267,165.5,3.55179
-3.4506,510.4,28.7198,148.077,3.58679
0.249181,586.865,37.3905,187.894,4.03515
0.41053,514.026,32.9254,165.274,4.05665
0.606432,556.491,35.8774,179.853,4.083
-0.118828,572.894,36.057,181.65,3.98677
-4.49457,591.553,32.1213,166.846,3.47404
-4.74752,591.92,31.8637,165.807,3.44754
-0.566198,596.259,36.9727,186.836,3.92916
-2.84052,571.243,32.8156,168.47,3.65528
-4.65985,509.889,27.5306,143.17,3.45669
-1.92092,562.248,33.3171,169.949,3.76237
1.37878,591.223,39.1009,194.987,4.18952
-3.07035,580.363,33.0809,170.106,3.62924
